gallery_size,baseline_r1,baseline_r1_ci_lower,baseline_r1_ci_upper,optimal_r1,optimal_r1_ci_lower,optimal_r1_ci_upper,optimal_gal_thresh,optimal_query_thresh,delta_r1
2,0.4265,0.3480,0.5049,0.5459,0.4755,0.6163,0.2000,0.5000,0.1195
4,0.5107,0.4446,0.5769,0.6384,0.5380,0.7387,0.5000,0.5000,0.1276
8,0.5791,0.5223,0.6359,0.7623,0.7073,0.8172,0.4000,0.5000,0.1832
16,0.6825,0.6273,0.7377,0.8257,0.7901,0.8612,0.4000,0.5000,0.1432
32,0.7443,0.7020,0.7866,0.8794,0.8502,0.9085,0.5000,0.5000,0.1351
64,0.7532,0.7193,0.7871,0.8826,0.8587,0.9064,0.5000,0.5000,0.1293
