gallery_size,baseline_ba,baseline_ba_ci_lower,baseline_ba_ci_upper,optimal_ba,optimal_ba_ci_lower,optimal_ba_ci_upper,optimal_gal_thresh,optimal_query_thresh,delta_ba
2,0.5218,0.5133,0.5304,0.5625,0.5192,0.6059,0.2500,0.5000,0.0407
4,0.5333,0.5233,0.5433,0.6114,0.5702,0.6527,0.5000,0.5000,0.0782
8,0.5758,0.5609,0.5907,0.6848,0.6483,0.7212,0.2500,0.5000,0.1089
16,0.5967,0.5797,0.6137,0.7298,0.6821,0.7776,0.2500,0.5000,0.1332
32,0.5151,0.4933,0.5369,0.7762,0.7495,0.8029,0.5000,0.5000,0.2611
64,0.5722,0.5537,0.5907,0.7894,0.7513,0.8274,0.2500,0.5000,0.2172
