gallery_size,baseline_r1,baseline_r1_ci_lower,baseline_r1_ci_upper,optimal_r1,optimal_r1_ci_lower,optimal_r1_ci_upper,optimal_gal_thresh,optimal_query_thresh,delta_r1
2,0.3066,0.2460,0.3673,0.3882,0.2987,0.4778,0.2500,0.5000,0.0816
4,0.3905,0.3354,0.4456,0.5315,0.4800,0.5831,0.2500,0.5000,0.1410
8,0.4694,0.4080,0.5308,0.6660,0.6300,0.7019,0.2500,0.5000,0.1966
16,0.5313,0.5035,0.5590,0.6765,0.6058,0.7472,0.5000,0.5000,0.1452
32,0.5711,0.5439,0.5982,0.7443,0.7192,0.7694,0.5000,0.5000,0.1732
64,0.5984,0.5583,0.6386,0.7754,0.7520,0.7988,0.5000,0.5000,0.1770
