gallery_size,baseline_ba,baseline_ba_ci_lower,baseline_ba_ci_upper,optimal_ba,optimal_ba_ci_lower,optimal_ba_ci_upper,optimal_gal_thresh,optimal_query_thresh,delta_ba
2,0.5234,0.4900,0.5567,0.5495,0.5232,0.5758,0.5000,0.5000,0.0262
4,0.5269,0.4768,0.5771,0.6150,0.5708,0.6592,0.5000,0.5000,0.0881
8,0.5530,0.5226,0.5834,0.6651,0.5848,0.7453,0.2500,0.5000,0.1121
16,0.5341,0.5073,0.5609,0.6144,0.5819,0.6469,0.5000,0.2500,0.0803
32,0.5015,0.4941,0.5089,0.5695,0.5378,0.6013,0.5000,0.5000,0.0681
64,0.5001,0.4982,0.5019,0.5345,0.5125,0.5565,0.5000,0.2500,0.0345
