gallery_size,baseline_r1,baseline_r1_ci_lower,baseline_r1_ci_upper,optimal_r1,optimal_r1_ci_lower,optimal_r1_ci_upper,optimal_gal_thresh,optimal_query_thresh,delta_r1
2,0.3651,0.2767,0.4534,0.3993,0.2732,0.5253,0.3000,0.2000,0.0342
4,0.4406,0.3656,0.5157,0.5057,0.4431,0.5683,0.3000,0.2000,0.0651
8,0.5616,0.5254,0.5979,0.5616,0.5254,0.5979,0.0000,0.0000,0.0000
16,0.6316,0.5903,0.6729,0.6316,0.5903,0.6729,0.0000,0.0000,0.0000
32,0.6234,0.5553,0.6915,0.6351,0.6024,0.6677,0.5000,0.0000,0.0117
64,0.6399,0.6038,0.6759,0.6399,0.6038,0.6759,0.0000,0.0000,0.0000
