gallery_size,baseline_ba,baseline_ba_ci_lower,baseline_ba_ci_upper,optimal_ba,optimal_ba_ci_lower,optimal_ba_ci_upper,optimal_gal_thresh,optimal_query_thresh,delta_ba
2,0.5242,0.4974,0.5510,0.5509,0.5194,0.5824,0.5000,0.0000,0.0267
4,0.5344,0.5154,0.5535,0.5948,0.5823,0.6074,0.1000,0.0000,0.0604
8,0.5051,0.5019,0.5083,0.6009,0.5752,0.6266,0.3000,0.4000,0.0958
16,0.5279,0.5138,0.5420,0.6344,0.6070,0.6619,0.2000,0.0000,0.1065
32,0.6061,0.5554,0.6568,0.6702,0.6319,0.7086,0.5000,0.2000,0.0642
64,0.6371,0.6245,0.6496,0.6521,0.6135,0.6906,0.2000,0.3000,0.0150
