gallery_size,baseline_ba,baseline_ba_ci_lower,baseline_ba_ci_upper,optimal_ba,optimal_ba_ci_lower,optimal_ba_ci_upper,optimal_gal_thresh,optimal_query_thresh,delta_ba
2,0.5232,0.5042,0.5423,0.6353,0.5845,0.6861,0.5000,0.5000,0.1121
4,0.5563,0.5383,0.5742,0.6380,0.5978,0.6782,0.5000,0.5000,0.0817
8,0.5915,0.5740,0.6090,0.7028,0.6716,0.7341,0.5000,0.5000,0.1114
16,0.6402,0.6175,0.6628,0.7495,0.7233,0.7757,0.2500,0.5000,0.1093
32,0.6245,0.5864,0.6627,0.7862,0.7666,0.8057,0.5000,0.5000,0.1616
64,0.6358,0.6056,0.6661,0.7990,0.7693,0.8288,0.5000,0.5000,0.1632
