gallery_size,baseline_r1,baseline_r1_ci_lower,baseline_r1_ci_upper,optimal_r1,optimal_r1_ci_lower,optimal_r1_ci_upper,optimal_gal_thresh,optimal_query_thresh,delta_r1
2,0.3568,0.2979,0.4157,0.4827,0.3582,0.6072,0.2500,0.5000,0.1259
4,0.4401,0.4118,0.4684,0.6154,0.5620,0.6689,0.5000,0.5000,0.1753
8,0.5102,0.4900,0.5305,0.6771,0.6515,0.7027,0.2500,0.5000,0.1668
16,0.5605,0.5386,0.5825,0.7175,0.6836,0.7514,0.2500,0.5000,0.1570
32,0.5843,0.5592,0.6093,0.7673,0.7333,0.8013,0.5000,0.5000,0.1830
64,0.6197,0.5836,0.6558,0.8026,0.7859,0.8194,0.5000,0.5000,0.1829
