gallery_size,baseline_r1,baseline_r1_ci_lower,baseline_r1_ci_upper,optimal_r1,optimal_r1_ci_lower,optimal_r1_ci_upper,optimal_gal_thresh,optimal_query_thresh,delta_r1
2,0.3603,0.2750,0.4456,0.4860,0.4062,0.5658,0.2000,0.1000,0.1257
4,0.4701,0.3755,0.5647,0.5905,0.5102,0.6709,0.2000,0.2000,0.1205
8,0.6194,0.5532,0.6856,0.6194,0.5532,0.6856,0.0000,0.0000,0.0000
16,0.6857,0.6341,0.7372,0.6857,0.6341,0.7372,0.0000,0.0000,0.0000
32,0.7080,0.6615,0.7546,0.7082,0.6553,0.7612,0.3000,0.2000,0.0002
64,0.7487,0.7263,0.7712,0.7487,0.7263,0.7712,0.0000,0.0000,0.0000
