gallery_size,baseline_ba,baseline_ba_ci_lower,baseline_ba_ci_upper,optimal_ba,optimal_ba_ci_lower,optimal_ba_ci_upper,optimal_gal_thresh,optimal_query_thresh,delta_ba
2,0.5337,0.4926,0.5747,0.5589,0.5141,0.6038,0.5000,0.0000,0.0253
4,0.5621,0.5192,0.6050,0.5864,0.5396,0.6331,0.1000,0.0000,0.0243
8,0.5045,0.4966,0.5123,0.6160,0.5876,0.6445,0.1000,0.0000,0.1116
16,0.6225,0.5756,0.6694,0.6424,0.6152,0.6696,0.1000,0.0000,0.0199
32,0.6187,0.5826,0.6547,0.6630,0.6293,0.6967,0.1000,0.1000,0.0443
64,0.6577,0.6235,0.6919,0.6684,0.6421,0.6948,0.5000,0.1000,0.0107
